Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,167,CCI,M,M,1,1,3,Aggregationsverantwortung in MaBiS,"CCI+6++ZA8
CCI+6++ZA9","NB
ÜNB",,S,"ausgehend:

bilanzierung

eingehend:

Bilanzierung.datenDerBeteiligtenMarktrolle",aggregationsverantwortung,,groupAttribution.aggregationResponsibility,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Prognosegrundlage der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,168,CCI,M,M,1,1,3,Prognosegrundlage der Marktlokation,"CCI+++ZC0
CCI+++ZA6","Prognose auf Basis von Werten
Prognose auf Basis von Profilen",,S,"ausgehend:

bilanzierung

eingehend:

Bilanzierung.datenDerBeteiligtenMarktrolle",prognosegrundlage,"ZC0 -> ""WERTE""
ZA6 -> ""PROFILE""","groupAttribution.basicMeasuringMethod - SLP, TLP = PROFILE / RLM = WERTE",EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,169,CAV,C,D,99,2,4,Details der Prognosegrundlage,"CAV+E02
CAV+E14
CAV+Z36","SLP/SEP
TLP/TEP
TEP mit Referenzmessung",,S,"ausgehend:

bilanzierung

eingehend:

Bilanzierung.datenDerBeteiligtenMarktrolle",detailsPrognosegrundlage,"E02 -> add SLP_SEP
E14 -> add TLP_TEP
Z36 -> add TEP",groupAttribution.basicMeasuringMethod,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Netznutzungsabrechnungsdaten der Marktlokation,,,,,,,,,,,Muss S,,,,,,,,,,,Muss,Muss,,,,,Muss S,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,170,SEQ,M,M,1,1,2,Netznutzungsabrechnungsdaten der Marktlokation,SEQ+Z45+2,"Z45 Netznutzungsabrechnungsdaten der Marktlokation
Z82 Erwartete Netznutzungsabrechnungsdaten der Marktlokation
Z83 Im System vorhandene Netznutzungsabrechnungsdaten der Marktlokation
Z84 Differenz Netznutzungsabrechnungsdaten der Marktlokation
Z96 Erwartete Differenz Netznutzungsabrechnungsdaten der Marktlokation
Z97 Im System vorhandene Differenz Netznutzungsabrechnungsdaten der Marktlokation
ZE1 Informative Netznutzungsabrechnungsdaten der Marktlokation
+
Referenz auf Zeitraum ID",,S,MARKTLOKATION,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z45 -> GUELTIGE_DATEN
Z84 -> DIFFERENZ_DATEN
Z82 -> ERWARTETE_DATEN
Z96 -> DIFFERENZ_ERWARTETE_DATEN
Z83 -> IM_SYSTEM_VORHANDENE_DATEN
Z97 -> DIFFERENZ_IM_SYSTEM_VORHANDENE_DATEN
ZE1 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,171,PIA,C,D,9,1,3,Gruppenartikel-ID / Artikel-ID,"PIA+Z02+1-01-7:Z09
PIA+Z02+1-01-7:Z10","Artikel-ID
Gruppenartikel-ID",,S,marktlokation.netznutzungsabrechnungsdaten,"artikelId
artikelIdTyp","artikelIdTyp = Z09 -> ""ARTIKELID""
artikelIdTyp = Z10 -> ""GRUPPENARTIKELID""",,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Anzahl in der NNA abzurechenden Positionen der Gruppenartikel-ID / Artikel-ID,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,172,QTY,M,M,1,1,3,Anzahl der abzurechenden Positionen der Gruppenartikel-ID / Artikel-ID,QTY+Z38:1:H87,H87 Stück,,S,marktlokation.netznutzungsabrechnungsdaten,anzahl,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Gemeinderabatt,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,173,QTY,M,M,1,1,3,Gemeinderabatt,QTY+Z16:0:P1,Gemeinderabatt in Prozent,,S,marktlokation.netznutzungsabrechnungsdaten,gemeinderabatt,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Zuschlag oder Abschlag,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,174,QTY,M,M,1,1,3,Zuschlag oder Abschlag,"QTY+Z34:0:P1
QTY+Z35:0:P1
QTY+Z37:0:P1","Zuschlag in Prozent
Abschlag in Prozent
Kein Zu-/Abschlag",,S,marktlokation.netznutzungsabrechnungsdaten,"zuschlag
abschlag
NULL",,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Daten der Singulär genutzten Betriebsmitte,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,175,QTY,M,M,1,1,3,Menge der Singulär genutzten Betriebsmittel,QTY+Z33:1,Menge der Singulär genutzten Betriebsmittel,,S,marktlokation.netznutzungsabrechnungsdaten.singulaereBetriebsmittel,wert,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG9,C,D,99,1,3,Preisangabe für Singulär genutzte Betriebsmittel,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,176,CCI,M,M,1,1,3,Preisangabe für Singulär genutzte Betriebsmittel,CCI+Z44++ZD8:::3050,Preisangabe für Singulär genutzte Betriebsmittel,,S,marktlokation.netznutzungsabrechnungsdaten.preisSingulaereBetriebsmittel,wert,,,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,177,CCI,M,M,1,1,3,Zugeordnete Zählzeitdefinition,CCI+Z39++ABC',Z39 Code der Zählzeitdefinition,,S,marktlokation.netznutzungsabrechnungsdaten.zaehlzeiten,zaehlzeitDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,99,3,Zugeordnetes Zählzeitregister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,178,CCI,M,M,1,1,3,Zugeordnetes Zählzeitregister,CCI+Z38++XYZ',Z38 Code des Zählzeitregisters,,S,marktlokation.netznutzungsabrechnungsdaten.zaehlzeiten,register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,99,3,Zugeordnete Marktpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,179,CCI,M,M,1,1,3,Zugeordnete Marktpartner,CCI+++ZB3',ZB3 Zugeordneter Marktpartner,,S,,,,,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,180,CAV,C,R,99,1,4,Netzbetreiber,CAV+Z88:1234567890128',Z88 NB,,S,MARKTLOKATION,netzbetreiberCodeNr,,,EDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Messstellenbetriebsabrechnungsdaten der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,181,SEQ,M,M,1,1,2,Messstellenbetriebsabrechnungsdaten der Marktlokation,SEQ+Z76+2,"Z76 Messstellenbetriebsabrechnungsdaten der Marktlokation
ZC5 Erwartete Messstellenbetriebsabrechnungsdaten der Marktlokation
ZC6 Im System vorhandene Messstellenbetriebsabrechnungsdaten der Marktlokation
+
Referenz auf Zeitraum ID",,S,MARKTLOKATION,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z76 -> GUELTIGE_DATEN
ZC5 -> ERWARTETE_DATEN
ZC6 -> IM_SYSTEM_VORHANDENE_DATEN
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,182,PIA,C,D,9,1,3,Gruppenartikel-ID / Artikel-ID,PIA+Z02+4-03-0-006:Z09',"Z02 Gruppenartikel-ID / Artikel-ID
Z03 Es wird keine Messstellenbetriebsabrechnung über diese Marktlokation vorgenommen

Z09 Artikel-ID",,S,marktlokation.messstellenbetriebsabrechnungsdaten,"messstellenbetriebsabrechnung

artikelId
artikelIdTyp","Z02 -> true
Z03 -> false

artikelIdTyp = Z09 -> ""ARTIKELID""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Anzahl in der Messstellenbetriebsabrechnung abzurechenden Positionen der Gruppenartikel-ID / Artikel-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,183,QTY,M,M,1,1,3,Anzahl in der Messstellenbetriebsabrechnung abzurechenden Positionen der Gruppenartikel-ID / Artikel-ID,QTY+Z38:1:H87',"Z38 Anzahl der abzurechenden Positionen der Gruppenartikel-ID / Artikel-ID

H87 Stück",,S,marktlokation.messstellenbetriebsabrechnungsdaten,anzahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,D,99,1,3,Abschlag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,184,QTY,M,M,1,1,3,Abschlag,QTY+Z46:0:P1',"Z35 Abschlag
Z46 kein Abschlag

P1 Prozent",,S,marktlokation.messstellenbetriebsabrechnungsdaten,"
abschlag
","NULL, 0 => Z46
Wert > 0 => Z35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Erforderliches Messprodukt der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss S,,Muss S,Muss S,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,185,SEQ,M,M,1,1,2,Erforderliches Messprodukt der Marktlokation,SEQ+Z27+2,"Z27 Erforderliches Messprodukt der Marktlokation
ZE2 Informative Erforderliches Messprodukt der Marktlokation
+
Referenz auf Zeitraum ID",,S,MARKTLOKATION,"datenqualitaet
gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)","Z27 -> GUELTIGE_DATEN
ZE2 -> INFORMATIVE_DATEN",,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,186,RFF,C,R,9,1,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXXX,Marktlokation,,S,marktlokation,marktlokationsId,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,187,PIA,C,R,9,1,3,Erforderliches Messprodukt der Marktlokation,PIA+5+9988000000043:Z11,Z11 Produkt,,S,marktlokation.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,188,CCI,M,M,1,1,3,Zugeordnete Zählzeitdefinition,"CCI+Z39++XXX
CCI+Z41++XXX","Code der Zählzeitdefinition
Keine Zählzeit für Messprodukt erforderlich",,S,marktlokation.zaehlwerke.zaehlzeiten,zaehlzeitDefinition,Z41 = null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,189,CCI,M,M,1,1,3,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,Netzbetreiber,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
