jsonStructure,Group1,Group2,Parameter,type,pattern,pattern,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
body,dataMarketLocation,dataMarketLocationAddress,,Schema,,,,Schemarahmen für dataMarketLocationAddress,S,,,
body,dataMarketLocation,dataMarketLocationAddress,contryCode,string,[A-Z]{2},[A-Z]{2},DE,Angabe des Ländercodes nach ISO-3166-1 Alpha-2,S,MARKTLOKATION[].lokationsadresse,landescode,
body,dataMarketLocation,dataMarketLocationAddress,zipCode,string,,,12117,Angabe der Postleitzahl der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,postleitzahl,
body,dataMarketLocation,dataMarketLocationAddress,city,string,,,Berlin,Angabe des Ortes der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,ort,
body,dataMarketLocation,dataMarketLocationAddress,street,string,,,Reinhardtstraße,Angabe der Straße der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,strasse,
body,dataMarketLocation,dataMarketLocationAddress,houseNumber,integer,,,32,Angabe der Hausnummer der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,hausnummer,
body,dataMarketLocation,dataMarketLocationAddress,houseNumberAddition,string,,,F,Angabe der Hausnummernergänzung der Marktlokationsadresse,S,MARKTLOKATION[].lokationsadresse,adresszusatz,
body,dataMarketLocation,dataMarketLocationLandParcels,,Schema,,,,Schemarahmen für dataMarketLocationLandParcels,S,,,
body,dataMarketLocation,dataMarketLocationLandParcels,districtName,string,,,,Angabe des Gemarkungsnamens (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,gemarkung_flur,
body,dataMarketLocation,dataMarketLocationLandParcels,lotNumber,string,,,,Angabe der Flurnummer (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,flurstueck,
body,dataMarketLocation,dataMarketLocationLandParcels,subLotNumber,string,,,,Angabe der Flurstücksnummer (des Flurstücks) der Marktlokationsadresse,S,MARKTLOKATION[].katasterinformation,flurstueckNummer,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,,Schema,,,,Schemarahmen für dataMarketLocationGeographicCoordinates,S,,,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,latitude,string,,,string,Angabe der Breite (Breitengrad) nach WGS84. 46 <= X <= 59. °N,S,MARKTLOKATION[].geokoordinaten,breitengrad,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,longitude,string,,,string,Angabe der Länge (Längengrad) nach WGS84. 4 <= X <= 18. °O,S,MARKTLOKATION[].geokoordinaten,laengengrad,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,east,string,,,string,Angabe des UTM Ostwert nach WGS84. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen,S,MARKTLOKATION[].geokoordinaten,ostwert,
body,dataMarketLocation,dataMarketLocationGeographicCoordinates,north,string,,,string,Angabe des UTM Nordwert nach WGS84. Umgerechneter Wert muss Min/Max für Länge/Breite entsprechen,S,MARKTLOKATION[].geokoordinaten,nordwert,
