Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,102,CAV,C,R,99,1,4,Identifikation,CAV+Z30:::XXXXXXXXXX:x,Gerätenummer MDRG,,S,zaehler.geraete,geraetenummer,,macoDevices.serialNumber,MDM_DATA,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,103,CAV,C,D,99,2,4,Art der Volumenerfassung (Gas),CAV+ZC0:::Z16,Hochfrequenzsonde,,S,zaehler.geraete,volumenerfassung,Z16 = HOCHFREQUENZSONDE,"macoDevices.macoDeviceCapabilities.gasVolumeDeterminationType
DEVICE_MACO_DATA",MDM_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,S,,S,S,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Mengenumwerterdaten,,,,,,,,,,,Soll,,,,,,,,,,,Soll,Soll,,,,,,,,Soll,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,Kann,,Soll,,Soll,Kann,Soll,,,,,,,,,,,,,,,,,,,Soll,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,104,SEQ,M,M,1,1,2,Mengenumwerterdaten,SEQ+Z09,Mengenumwerterdaten,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,105,RFF,C,D,9,9,3,Referenz auf die Gerätenummer,RFF+MG:XXXXXXXXXXX,Gerätenummer des Zählers,,S,zaehler,zaehlernummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = ?
DEVICE_MACO_DATA",VCD_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Mengenumwerter,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,106,CCI,M,M,1,1,3,Mengenumwerter,CCI+++Z64,Mengenumwerter,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = MENGENUMWERTER,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,107,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Mengenumwerter,,S,zaehler.geraete,geraetenummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = ?
DEVICE_MACO_DATA",VCD_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,108,CAV,C,D,99,1,4,Mengenumwertertyp,"CAV+DMU
CAV+TMU
CAV+ZMU","Dichtemengenumwerter
Temperaturmengenumwerter
Zustandsmengenumwerter",,S,zaehler.geraete.geraeteeigenschaften,geraetemerkmal (ENUM),"DMU = DICHTEMENGENUMWERTER
TMU = TEMPERATURMENGENUMWERTER
ZMU = ZUSTANDSMENGENUMWERTER","macoDevices.macoDeviceCapabilities.gasVolumeCorrectorType
DEVICE_MACO_DATA",VCD_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,109,CAV,C,D,99,2,4,Art der Volumenerfassung,"CAV+ZC0:::Z17
CAV+ZC0:::Z18","Kennlinienkorrektur
Schleichmengenunterdrückung",,S,zaehler.geraete.geraeteeigenschaften,volumenerfassung,"Z17 = KENNLINIENKORREKTUR
Z18 = SCHLEICHMENGENUNTERDRUECKUNG","macoDevices.macoDeviceCapabilities.gasVolumeDeterminationType
DEVICE_MACO_DATA",VCD_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,OBIS-Daten der Zähleinrichtung / Mengenumwerter,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Kann,Kann S,Muss,,Soll,Kann,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,110,SEQ,M,M,1,1,2,OBIS-Daten der Zähleinrichtung / Mengenumwerter,SEQ+Z20,OBIS-Daten der Zähleinrichtung,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,111,RFF,C,D,9,1,3,Referenz auf die Gerätenummer,"RFF+MG:XXXXXXXXXXX
RFF+Z11:XXXXXXXXXXX","Gerätenummer des Zählers
Gerätenummer des Mengenumwerters",,S,"zaehler  (Wenn RFF+MG vorliegt)


zaehler.geraete  (Wenn RFF+Z11 vorliegt)","zaehlernummer (Wenn RFF+MG vorliegt)

geraetenummer (Bei RFF+Z11)
geraeteeigenschaften.geraetetyp = MENGENUMWERTER  (Bei RFF+Z11)",,"macoDevices.serialNumber
macoDevices.deviceBasicType = VOLUME_CAPTURING
DEVICE_MACO_DATA","METER_DATA
VCD_DATA
GW_DATA",,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,"X

X",X,,X,X,X,,,,,,,,,,,,,,,,,,,"X
X
X",,"X
X
X","X
X
X",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,112,RFF,C,D,9,1,3,Referenz auf die ID der Messlokation,RFF+Z19:XXXXXXXXXXXXXXXXXXXXX,Messlokation,,S,ZAEHLER,messlokationsId,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,113,PIA,C,R,9,1,3,OBIS-Kennzahl der Zähleinrichtung / Mengenumwerter,PIA+5+1-1?:1.8.1:SRW,OBIS-Kennzahl,,S,zaehler.zaehlwerke,obisKennzahl,,macoDevices.macoRegisters.obisCode,"METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Wertegranularität,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,M uss,Muss,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,114,CCI,M,M,1,1,3,Wertegranularität,CCI+++ZE4,Wertegranulatität,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,115,CAV,C,R,99,1,4,Wertegranularität,"CAV+ZD9
CAV+ZE8
CAV+ZE9
CAV+ZB7","Jährlich
Halbjährlich
Quartalsweise
Monatlich",,S,zaehler.zaehlwerke,wertegranularitaet,"ZD9 = ""JAEHRLICH""
ZE8 = ""HALBJAEHRLICH""
ZE9 = ""QUARTALSWEISE""
ZB7 = ""MONATLICH""",?,MELO_METERING,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Vor- und Nachkommastellen des Zählwerks,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Soll,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,116,CCI,M,M,1,1,3,Vor- und Nachkommastellen des Zählwerks,CCI+11++Z33,Vor- und Nachkommastellen des Zählwerks,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,117,CAV,C,R,99,1,4,Vor- und Nachkommastellen des Zählwerks,CAV+:::8:3,Angabe Vorkommastelle / Angabe Nachkommastelle,,S,zaehler.zaehlwerke (unter korrespondierender Obis zu PIA+5),"vorkommastellen
nachkommastellen",,"macoDevices.macoRegisters.integerDigits
macoDevices.macoRegisters.decimalDigits
DEVICE_MACO_DATA","METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Bezeichnung des Zählwerks auf dem Gerät,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,,Muss,,Soll,Muss,Muss,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,118,CCI,M,M,1,1,3,Bezeichnung des Zählwerks auf dem Gerät,CCI+++Z63:::HAT,                                          ,,S,zaehler.zaehlwerke (unter korrespondierender Obis zu PIA+5),bezeichnung,,"macoDevices.macoRegisters.label
DEVICE_MACO_DATA","METER_DATA
VCD_DATA",,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Kommunikationseinrichtungsdaten,,,,,,,,,,,Muss/Soll,,,,,,,,,,,Muss/Soll,Muss/Soll,,,,,,,,Muss/Soll,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Kann,Kann S,Muss,,Soll,Kann,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,119,SEQ,M,M,1,1,2,Kommunikationseinrichtungsdaten,SEQ+Z05,Kommunikationseinrichtungsdaten,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,120,RFF,C,D,9,9,3,Referenz auf die Gerätenummer,RFF+MG:XXXXXXXXXXX,Gerätenummer des Zählers,,S,zaehler,zaehlernummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = METER
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Kommunikationseinrichtung,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,121,CCI,M,M,1,1,3,Kommunikationseinrichtung,CCI+++Z26,Kommunikationseinrichtung,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = KOMMUNIKATIONSEINRICHTUNG,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,122,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Kommunikationseinrichtung,,S,zaehler.geraete,geraetenummer,,"macoDevices.serialNumber
macoDevices.deviceBasicType = COMMUNICATION
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,123,CAV,C,D,99,1,4,Kommunikationseinrichtungstyp,"CAV+GSM
CAV+ETH
CAV+PLC
CAV+PST
CAV+DSL
CAV+LTE","GSM/GPRS/UMTS-Kom.-Einr.
Ethernet-Kom.-Einricht. LAN/WLAN
PLC-Kom.-Einrichtung
Festnetz-Kom.-Einricht. TAE
DSL-Kom.Einr.
LTE-Kom.-Einr.",,S,zaehler.geraete.geraeteeigenschaften,"
geraetemerkmal (ENUM)
","GSM = MODEM_GSM
ETH = ETHERNET_KOM
PLC = PLC_COM
PST = MODEM_FESTNETZ
DSL = DSL_KOM
LTE = LTE_KOM","macoDevices.macoDeviceCapabilities.deviceCommunicationType
DEVICE_MACO_DATA",COMDEV_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Smartmeter-Gateway,,,,,,,,,,,Soll,,,,,,,,,,,Soll,Soll,,,,,,,,Soll,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,Kann,Kann,Soll,,Soll,Kann,Soll,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,124,SEQ,M,M,1,1,2,Smartmeter-Gateway,SEQ+Z13,Smartmeter-Gateway,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Smartmeter-Gateway,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,125,CCI,M,M,1,1,3,Smartmeter-Gateway,CCI+++Z75,Smartmeter-Gateway,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = SMARTMETERGATEWAY,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,126,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer Smartmeter-Gateway,,S,zaehler.geraete,geraetenummer,,"macoDevices.macoRelatedSmartMeterDevices.serialNumber
DEVICE_MACO_DATA",MELO_METERING,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Lastprofildaten,,,,,,,,,,Kann G,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann,Soll,,,,Muss,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,127,SEQ,M,M,1,1,2,Lastprofildaten,SEQ+Z35,Lastprofildaten (Gas),,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Lastprofil,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,Muss,Muss,Muss,,,,Muss,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,128,CCI,M,M,1,1,3,Lastprofil,"CCI+Z12++E01
CCI+Z12++Z10","synthetisches Verfahren
analytisches Verfahren",,S,bilanzierung.lastprofile,"verfahren
profilart = ""ART_LASTPROFIL""
einspeisung = false","E01 -> ""SYNTHETISCH""
Z10 -> ""ANALYTISCH""","groupAttributionloadProfileMethod  - SYNTHETISCH/ANALYTISCH
groupAttribution.basicMeasuringMethod - SLP_SEP",EDM_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,129,CAV,C,R,99,1,4,Lastprofil,"CAV+N14::293
CAV+F95::89","N14 nach TUM mit Qualifier 293
F95 eigenes Profil Netzbetreiber mit Qualifier 89",,S,bilanzierung.lastprofile,"bezeichnung 
herausgeber","293 = ""TUM""
89 = ""NB""",groupAttribution.loadProfileCode,EDM_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Klimazone / Temperaturmessstelle,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,Muss,Muss,Muss,,,,Muss,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,130,CCI,M,M,1,1,3,Klimazone / Temperaturmessstelle,"CCI+Z99++1234:ZT1:293
CCI+ZA0++5678::89","Temperaturmessstelle 1234 des Anbieters ZT1
Klimazone 5678 vom NB",,S,bilanzierung.lastprofile.tagesparameter,"bei ZA0 -> ""klimazone"" ;  herausgeber:""NB""
bei Z99 -> ""temperaturmessstelle"" ;  ""dienstanbieter"": ""DWD"" ; ""herausgeber"":""BDEW""","ZT1 = ""DWD""
293 = ""BDEW"" / 89 = ""NB""",temperatureMeasuringPoint (LOAD_PROFILE_DATA),EDM_DATA,,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Daten der Deklarationsliste,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,131,SEQ,M,M,1,1,2,Daten der Deklarationsliste,SEQ+Z26,Daten der Deklarationsliste,X,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Bilanzkreis,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,132,CCI,M,M,1,1,3,Bilanzkreis,CCI+Z19++XXXXXXXXXXXXXXXX,Bilanzkreis Deklarationsliste,X,,,,,,DECLIST_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,R,99,1,3,Fallgruppenzuordnung,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
