Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
1260,41,MOA,M,M,1,1,2,Positionsnettobetrag,MOA+203:580,Positionsbetrag (ohne USt.),S,rechnung.rechnungspositionen.teilsummeNetto,"wert
waehrung",,,,X,X,X,X,,X,X,X,X,,X,,,,,,,,,,,,
1250,,SG27,C,D,99,1,2,Gesamtzu- oder abschlagsbetrag,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,
1260,42,MOA,M,M,1,1,2,Gesamtzu- oder abschlagsbetrag,MOA+131:580,Gesamtzu- oder abschlagsbetrag,S,rechnung.rechnungspositionen,gesamtZuAbschlagsbetrag,,,,,X,,,,,,,,,,,,,,,,,,,,,
1330,,SG29,C,D,25,1,2,Preis,,,,,,,,,Muss,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,,Muss,,,,,,,,,,,,
1340,43,PRI,M,M,1,1,2,Preis,"PRI+CAL:36::::ANN
PRI+CAL:14.50","zeitabhängiger Preis
Preis",S,rechnung.rechnungspositionen.einzelpreis,"wert
einheit (-> ENUM Waehrungseinheit)
bezugswert (-> ENUM Mengeneinheit)
status (-> ENUM Preisstatus","
Bezugswert:

DAY -> TAG
MON ->MONAT
ANN -> JAHR",,,X,X,X,"ANN
X",,X,X,X,X,,X,,,,,,,,,,,,
1550,,SG34,C,R,99,1,2,Steuersatz (Position),,,,,,,,,Muss,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,
1560,44,TAX,M,M,1,1,2,Umsatzsteuer der Position,TAX+7+VAT+++:::19+S,Umsatzsteuersatz,S,rechnung.rechnungspositionen.teilsummeSteuer,steuerkennzeichen,"19+S -> UST_19
16+S -> UST_16
7+S -> UST_7
0+O -> VST_0
19+O -> VST_19
16+O -> VST_16
7+O -> VST_7
0+AE -> RCV",,,X,X,X,X,,X,X,X,X,X,X,,,,,,,,,,,,
1720,,SG39,C,D,30,2,2,Abschlag,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,
1730,45,ALC,M,M,1,1,2,Abschlag,"ALC+A+:Z01
ALC+A+:Z04","Gemeinderabatt nach Konzessionsabgabenverordnung
Anpassung nach § 19, Absatz 2 Stromnetzentgeltverordnung",S,rechnung.rechnungspositionen.abschlag,typ,"Z01 -> GEMEINDERABATT_KAV
Z04 -> ANPASSUNG_P19_STROM_NEV",,,,X,,,,,,,,,,,,,,,,,,,,,
1800,,SG41,C,R,1,1,3,Prozentangabe des Abschlags,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,
