0130,26,NAD,M,M,1,1,1,MP-ID Empfänger,"NAD+MR+9900259000002::9
NAD+MR+9900259000002::293
NAD+MR+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
0140,27,LOC,C,D,99,1,2,Bilanzierungsgebiet/Regelzone,"LOC+107+11YR00000001234Y
LOC+231+11YR00000001234Y","Bilanzierungsgebiet
Regelzone","MaBiS
S",marktlokation,"bilanzierungsgebiet
regelzone
-Eingabe von MaLo-ID aus RFF+Z18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,"Marktlokation, Messlokation, Tranche bzw. Ressource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,28,NAD,M,M,1,1,1,Meldepunkt,NAD+DP,Lieferanschrift,,,,,,,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,
0140,29,LOC,C,D,99,1,2,Meldepunkt,LOC+172+DE00014545768S0000000000000003054,"Meldepunkt (Malo, Melo, Tranche, steuerbare Ressource)",S,"anfrage
reklamation (PID 17122, 17113, 17128)



eingehend:


marktlokation
marktlokationsTyp[].typ = STANDARD_MARKTLOKATION

messlokation
tranche
STEUERBARE_RESSOURCE
netzlokation","lokationsId
lokationsTyp (ENUM)

eingehend: 
zusätzlich auf jeweiliges Geschäftsobjekt


marktlokationsId
messlokationsId
tranchenId
ressourcenId
netzlokationsId","MALO (11-stellig)
MELO (33-stellig)
STEUERBARE_RESSOURCE
TRANCHE
NELO






",,,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,99,2,Referenz auf ID der Marktlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,30,RFF,M,M,1,1,2,Referenz auf ID der Marktlokation,RFF+Z18:57685676748,Marktlokation,S,marktlokation,"marktlokationsId

marktlokationsTyp[].typ = STANDARD_MARKTLOKATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,99,2,Referenz auf ID der Tranche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,31,RFF,M,M,1,1,2,Referenz auf ID der Tranche,RFF+Z20:57685676748,Z20 Tranche,S,TRANCHE,tranchenId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,99,2,Referenz auf ID der Steuerbaren Ressource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,32,RFF,M,M,1,1,2,Referenz auf ID der Steuerbaren Ressource,RFF+Z38:C816417ST77,Z38 Steuerbare Ressource,S,STEUERBARE_RESSOURCE,ressourcenId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,99,2,Referenz auf ID der Technischen Ressource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,33,RFF,M,M,1,1,2,Referenz auf ID der Technischen Ressource,RFF+Z37:D417MLM8164,Z37 Technische Ressource,S,TECHNISCHE_RESSOURCE,ressourcenId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,99,2,Referenz auf die ID der Marktlokation der Kundenanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,34,RFF,M,M,1,1,2,Referenz auf die ID der Marktlokation der Kundenanlage,RFF+Z59:57685676748,Z59 Marktlokation Kundenanlage,S,MARKTLOKATION,"marktlokationsId

marktlokationsTyp[].typ = KUNDENANLAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,1,2,Konfigurations-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,35,RFF,M,M,1,1,2,Konfigurations-ID,RFF+AGK:34590456ujdfsdghdlktztwqq-053trg,Anwendungsreferenznummer,S,reklamation,konfiguration,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Marktlokationsadresse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,36,NAD,M,M,1,1,1,Marktlokationsadresse,NAD+Z23++Hinterhof:ganz:am:Ende:links++Musterstrasse::123:Testortsteil+Testort++12345+DE,Marktlokationsadresse,S,marktlokation.lokationsadresse,"postleitzahl
ort
strasse
hausnummer
postfach
adresszusatz
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1-5",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Messlokationsadresse,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,37,NAD,M,M,1,1,1,Messlokationsadresse,NAD+Z03++Hinterhof:ganz:am:Ende:links++Musterstrasse::123:Testortsteil+Testort++12345+DE,Messlokationsadresse,S,messlokation.messadresse,"postleitzahl
ort
strasse
hausnummer
postfach
adresszusatz
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1-5",,,,,x,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Kunde des Lieferanten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
